"highwayThing","streetName"
"http://linkedgeodata.org/triplify/way67366785","Stolbergallee"
"http://linkedgeodata.org/triplify/way67506666","Schatenweg"
"http://linkedgeodata.org/triplify/way67521310","Schatenweg"
"http://linkedgeodata.org/triplify/way67522831","Gogrevenstraße"
"http://linkedgeodata.org/triplify/way67523038","Dubelohstraße"
"http://linkedgeodata.org/triplify/way67523039","An den Fischteichen"
"http://linkedgeodata.org/triplify/way67661869","Schatenweg"
"http://linkedgeodata.org/triplify/way680058661","Am Haxthausenhof"
"http://linkedgeodata.org/triplify/way68351276","Markt"
"http://linkedgeodata.org/triplify/way68928050","Michaelstraße"
"http://linkedgeodata.org/triplify/way690216395","Burgensteig"
"http://linkedgeodata.org/triplify/way690422000","Bahnhofstraße"
"http://linkedgeodata.org/triplify/way690805695","Kohlstädter Straße"
"http://linkedgeodata.org/triplify/way699646285","Sudetenweg"
"http://linkedgeodata.org/triplify/way71435846","Josefstraße"
"http://linkedgeodata.org/triplify/way73373895","Adenauerstraße"
"http://linkedgeodata.org/triplify/way73537877","Lindenweg"
"http://linkedgeodata.org/triplify/way665305520","Am Haxthausenhof"
"http://linkedgeodata.org/triplify/way686068178","Am Haxthausenhof"
"http://linkedgeodata.org/triplify/way7960276","Steinbekestraße"
"http://linkedgeodata.org/triplify/way7983960","Lange Straße"
"http://linkedgeodata.org/triplify/way7983961","Am Steintor"
"http://linkedgeodata.org/triplify/way81521460","Sudetenweg"
"http://linkedgeodata.org/triplify/way81521462","Bleichstraße"
"http://linkedgeodata.org/triplify/way81527174","Am Haxthausenhof"
"http://linkedgeodata.org/triplify/way82080076","Renkerweg"
"http://linkedgeodata.org/triplify/way82088409","Durbeke"
"http://linkedgeodata.org/triplify/way92162291","Stolbergallee"
"http://linkedgeodata.org/triplify/way92162293","Schatenweg"
"http://linkedgeodata.org/triplify/way103431331","Sennemühlenweg"
"http://linkedgeodata.org/triplify/way106171428","Sennemühlenweg"
"http://linkedgeodata.org/triplify/way116099506","Salzkottener Straße"
"http://linkedgeodata.org/triplify/way117215171","An der B64"
"http://linkedgeodata.org/triplify/way117215194","An der B64"
"http://linkedgeodata.org/triplify/way117215205","An der B64"
"http://linkedgeodata.org/triplify/way118841516","Warburger Straße"
"http://linkedgeodata.org/triplify/way121547648","Sander-Bruch-Straße"
"http://linkedgeodata.org/triplify/way121547649","Sander-Bruch-Straße"
"http://linkedgeodata.org/triplify/way127480127","Salzkottener Straße"
"http://linkedgeodata.org/triplify/way127506344","Grenzweg"
"http://linkedgeodata.org/triplify/way127506350","Grenzweg"
"http://linkedgeodata.org/triplify/way127512539","Grenzweg"
"http://linkedgeodata.org/triplify/way129082352","Paderborner Straße"
"http://linkedgeodata.org/triplify/way130185136","Hauptstraße"
"http://linkedgeodata.org/triplify/way130360176","Lange Straße"
"http://linkedgeodata.org/triplify/way130629206","Moosheider Straße"
"http://linkedgeodata.org/triplify/way130629207","Moosheider Straße"
"http://linkedgeodata.org/triplify/way133755041","An der B64"
"http://linkedgeodata.org/triplify/way136827199","Münsterstraße"
"http://linkedgeodata.org/triplify/way137861273","Bahnhofstraße"
"http://linkedgeodata.org/triplify/way137955123","Hauptstraße"
"http://linkedgeodata.org/triplify/way137955124","Lange Straße"
"http://linkedgeodata.org/triplify/way167373721","Bahnhofstraße"
"http://linkedgeodata.org/triplify/way16944452","Warburger Straße"
"http://linkedgeodata.org/triplify/way16944453","Warburger Straße"
"http://linkedgeodata.org/triplify/way169988716","Rietberger Straße"
"http://linkedgeodata.org/triplify/way172311465","Grunigerstraße"
"http://linkedgeodata.org/triplify/way172413209","Georg-Lucas-Weg"
"http://linkedgeodata.org/triplify/way172429857","Am Haustenbach"
"http://linkedgeodata.org/triplify/way172429859","Sennemühlenweg"
"http://linkedgeodata.org/triplify/way172429872","Sennemühlenweg"
"http://linkedgeodata.org/triplify/way172429885","Am Haustenbach"
"http://linkedgeodata.org/triplify/way172610481","Georg-Lucas-Weg"
"http://linkedgeodata.org/triplify/way172610482","Georg-Lucas-Weg"
"http://linkedgeodata.org/triplify/way173117890","Neuhäuser Kirchstraße"
"http://linkedgeodata.org/triplify/way175566794","Neuhäuser Kirchstraße"
"http://linkedgeodata.org/triplify/way175566795","Schloßstraße"
"http://linkedgeodata.org/triplify/way181999304","Heierweg"
"http://linkedgeodata.org/triplify/way181999305","Bauernweg"
"http://linkedgeodata.org/triplify/way181999306","Dullwalsweg"
"http://linkedgeodata.org/triplify/way181999307","Geschwister-Scholl-Straße"
"http://linkedgeodata.org/triplify/way183084910","Bahnhofstraße"
